service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
2773425,0,0,0,0,0,0,0,20190930,20191203
2773424,0,0,0,0,0,0,0,20190929,20191201
12773431,0,0,0,0,0,0,0,20190608,20191101
12773429,0,0,0,0,0,0,0,20190929,20191201
12773430,0,0,0,0,0,0,0,20191005,20191130
2773429,0,0,0,0,0,0,0,20190928,20191130
12773427,0,0,0,0,0,0,0,20190702,20190830
12773432,0,0,0,0,0,0,0,20190706,20190831
12773428,0,0,0,0,0,0,0,20190609,20190922
2773428,0,0,0,0,0,0,0,20190608,20190921
12773425,0,0,0,0,0,0,0,20191001,20191204
2773427,0,0,0,0,0,0,0,20190701,20190829
12773426,0,0,0,0,0,0,0,20190606,20191031
2773426,0,0,0,0,0,0,0,20190605,20191030
12773424,0,0,0,0,0,0,0,20190930,20191202
2773592,0,0,0,0,0,0,0,20190610,20190922
12773592,0,0,0,0,0,0,0,20190611,20190923
2773381,0,0,0,0,0,0,0,20190608,20191201
1132941,0,0,0,0,0,0,0,20190605,20191203
2773431,0,0,0,0,0,0,0,20190607,20191031
2773432,0,0,0,0,0,0,0,20190705,20190830
2773430,0,0,0,0,0,0,0,20191004,20191129
