service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
12773274,0,0,0,0,0,0,0,20191001,20191204
12773275,0,0,0,0,0,0,0,20190609,20191201
12773276,0,0,0,0,0,0,0,20190608,20191102
12773277,0,0,0,0,0,0,0,20191005,20191130
2773272,0,0,0,0,0,0,0,20190609,20191201
2773274,0,0,0,0,0,0,0,20190930,20191203
2773273,0,0,0,0,0,0,0,20190605,20191031
2773276,0,0,0,0,0,0,0,20190607,20191101
2773275,0,0,0,0,0,0,0,20190608,20191130
12773273,0,0,0,0,0,0,0,20190606,20191101
12773272,0,0,0,0,0,0,0,20190610,20191202
2773277,0,0,0,0,0,0,0,20191004,20191129
