service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
2773359,0,0,0,0,0,0,0,20191006,20191201
12773361,0,0,0,0,0,0,0,20190730,20190823
12773360,0,0,0,0,0,0,0,20190610,20191104
12773366,0,0,0,0,0,0,0,20190609,20191103
2773361,0,0,0,0,0,0,0,20190729,20190822
2773362,0,0,0,0,0,0,0,20190708,20190829
12773367,0,0,0,0,0,0,0,20190803,20190824
12773368,0,0,0,0,0,0,0,20190608,20191102
2773360,0,0,0,0,0,0,0,20190609,20191103
12773369,0,0,0,0,0,0,0,20190713,20190831
2773365,0,0,0,0,0,0,0,20191005,20191130
12773362,0,0,0,0,0,0,0,20190709,20190830
2773366,0,0,0,0,0,0,0,20190608,20191102
12773363,0,0,0,0,0,0,0,20190606,20191101
2773363,0,0,0,0,0,0,0,20190605,20191031
12773364,0,0,0,0,0,0,0,20191001,20191204
2773364,0,0,0,0,0,0,0,20190930,20191203
12773365,0,0,0,0,0,0,0,20191006,20191201
12773370,0,0,0,0,0,0,0,20191005,20191130
2773367,0,0,0,0,0,0,0,20190802,20190823
2773368,0,0,0,0,0,0,0,20190607,20191101
2773369,0,0,0,0,0,0,0,20190712,20190830
2946537,0,0,0,0,0,0,0,20190621,20190621
2773370,0,0,0,0,0,0,0,20191004,20191129
12773359,0,0,0,0,0,0,0,20191007,20191202
12946537,0,0,0,0,0,0,0,20190622,20190622
