service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
2773295,0,0,0,0,0,0,0,20190610,20190922
2773296,0,0,0,0,0,0,0,20190930,20191203
2773300,0,0,0,0,0,0,0,20190928,20191130
2773293,0,0,0,0,0,0,0,20191101,20191110
2773294,0,0,0,0,0,0,0,20190929,20191201
2773299,0,0,0,0,0,0,0,20190801,20190829
12773296,0,0,0,0,0,0,0,20191001,20191204
12773297,0,0,0,0,0,0,0,20190606,20191031
2773297,0,0,0,0,0,0,0,20190605,20191030
12773298,0,0,0,0,0,0,0,20190702,20190801
2773298,0,0,0,0,0,0,0,20190701,20190731
12773299,0,0,0,0,0,0,0,20190802,20190830
12773305,0,0,0,0,0,0,0,20190803,20190831
12773304,0,0,0,0,0,0,0,20190706,20190727
12773293,0,0,0,0,0,0,0,20191102,20191111
12773295,0,0,0,0,0,0,0,20190611,20190923
12773294,0,0,0,0,0,0,0,20190930,20191202
12773301,0,0,0,0,0,0,0,20190609,20190922
12773300,0,0,0,0,0,0,0,20190929,20191201
12773303,0,0,0,0,0,0,0,20190608,20191101
12773302,0,0,0,0,0,0,0,20191005,20191130
2773303,0,0,0,0,0,0,0,20190607,20191031
2773304,0,0,0,0,0,0,0,20190705,20190726
2773301,0,0,0,0,0,0,0,20190608,20190921
2773302,0,0,0,0,0,0,0,20191004,20191129
2773305,0,0,0,0,0,0,0,20190802,20190830
