service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
2823937,0,0,0,0,0,0,0,20190802,20190830
2823936,0,0,0,0,0,0,0,20190801,20190829
12773307,0,0,0,0,0,0,0,20190611,20190923
12823936,0,0,0,0,0,0,0,20190802,20190830
12773306,0,0,0,0,0,0,0,20190930,20191202
12773309,0,0,0,0,0,0,0,20190606,20191031
12779762,0,0,0,0,0,0,0,20191102,20191111
12773308,0,0,0,0,0,0,0,20191001,20191204
2773312,0,0,0,0,0,0,0,20191005,20191130
2773313,0,0,0,0,0,0,0,20190608,20190928
2773314,0,0,0,0,0,0,0,20190705,20190726
2773315,0,0,0,0,0,0,0,20191004,20191129
12823937,0,0,0,0,0,0,0,20190803,20190831
2773317,0,0,0,0,0,0,0,20190607,20191031
2773311,0,0,0,0,0,0,0,20190714,20190714
2773310,0,0,0,0,0,0,0,20190701,20190731
12773313,0,0,0,0,0,0,0,20190609,20190929
2946536,0,0,0,0,0,0,0,20190621,20190621
12773314,0,0,0,0,0,0,0,20190706,20190727
12773311,0,0,0,0,0,0,0,20190715,20190715
2779762,0,0,0,0,0,0,0,20191101,20191110
2773309,0,0,0,0,0,0,0,20190605,20191030
12773312,0,0,0,0,0,0,0,20191006,20191201
12773310,0,0,0,0,0,0,0,20190702,20190801
12946536,0,0,0,0,0,0,0,20190622,20190622
2773307,0,0,0,0,0,0,0,20190610,20190922
12773317,0,0,0,0,0,0,0,20190608,20191101
2773308,0,0,0,0,0,0,0,20190930,20191203
12773315,0,0,0,0,0,0,0,20191005,20191130
2773306,0,0,0,0,0,0,0,20190929,20191201
